ProductID,CurrentStockLevels,InventoryTurnoverRate,StockAlerts
209,664,2.69,Low
210,422,5.54,Normal
211,185,6.61,Normal
212,209,6.83,Normal
213,595,7.47,Normal
214,985,1.6,Normal
215,913,4.46,Normal
216,344,5.46,Normal
217,790,9.11,Normal
218,536,4.49,Normal
219,839,8.5,Normal
220,50,9.73,Normal
221,405,4.82,Normal
222,251,5.59,Low
223,731,3.06,Normal
224,605,1.76,Normal
225,2,2.68,Low
226,751,1.68,Normal
227,50,9.9,Normal
228,973,8.91,Normal
229,885,5.7,Normal
230,119,6.67,Normal
231,794,5.07,Normal
232,417,9.14,Normal
233,979,1.32,Normal
234,323,2.45,Low
235,345,3.09,Normal
236,474,8.92,Normal
237,257,5.5,Normal
238,943,1.12,Normal
239,64,7.91,Normal
240,927,8.75,Normal
241,240,7.5,Normal
242,196,3.6,Normal
243,317,9.77,Normal
244,930,8.41,Normal
245,263,8.29,Normal
246,106,6.47,Normal
247,428,6.97,Normal
248,663,4.37,Normal
249,796,9.9,Normal
250,853,8.66,Normal
251,107,8.97,Normal
252,615,1.78,Normal
253,516,5.32,Normal
254,208,7.23,Normal
255,683,2.95,Normal
256,399,8.71,Normal
257,569,3.29,Normal
258,199,8.98,Normal
259,432,2.75,Normal
260,325,6.43,Normal
261,62,4.44,Normal
262,943,2.45,Normal
263,146,6.56,Normal
264,607,2.05,Normal
265,708,6.18,Normal
266,378,6.08,Normal
267,966,5.36,Normal
268,42,2.64,Normal
269,122,5.47,Normal
270,502,3.68,Low
271,227,1.1,Normal
272,213,8.35,Normal
273,151,8.17,Low
274,4,9.26,Normal
275,598,4.68,Normal
276,75,3.71,Normal
277,667,6.39,Normal
278,79,4.24,Normal
279,302,3.06,Normal
280,308,5.06,Normal
281,588,7.36,Normal
282,600,8.13,Normal
283,670,3.87,Normal
284,232,1.62,Normal
285,207,3.22,Normal
286,895,8.42,Normal
287,467,4.6,Normal
288,294,7.99,Normal
289,256,2.81,Normal
290,260,6.22,Normal
291,636,7.5,Normal
292,969,5.53,Normal
293,930,5.8,Normal
294,875,9.29,Normal
295,947,4.26,Low
296,571,8.67,Normal
297,862,3.92,Normal
298,29,6.08,Normal
299,992,5.01,Normal
300,464,6.16,Low
301,396,9.82,Low
302,133,6.78,Normal
303,328,3.8,Normal
304,256,6.05,Low
305,247,7.98,Normal
306,685,8.24,Normal
307,532,5.49,Normal
308,735,9.42,Normal
309,184,8.41,Normal
310,627,1.84,Normal
311,768,1.47,Normal
312,159,9.7,Normal
313,283,1.68,Normal
314,433,6.42,Normal
315,610,8.27,Low
316,24,8.32,Low
317,380,1.93,Normal
318,566,3.36,Normal
319,420,3.53,Normal
320,957,1.42,Normal
321,780,7.53,Low
322,923,4.51,Normal
323,131,4.1,Normal
324,821,3.54,Normal
325,705,9.09,Normal
326,345,7.15,Normal
327,476,5.3,Normal
328,557,6.51,Normal
329,532,8.61,Normal
330,967,8.7,Low
331,408,1.69,Normal
332,472,8.38,Normal
333,900,5.01,Normal
334,240,3.8,Normal
335,787,9.18,Low
336,932,8.62,Normal
337,35,8.86,Normal
338,884,8.4,Normal
339,294,8.06,Normal
340,549,3.5,Normal
341,346,8.42,Normal
342,527,1.11,Normal
343,246,3.78,Normal
344,330,5.76,Normal
345,334,7.74,Normal
346,763,2.6,Low
347,513,9.03,Normal
348,157,3.19,Normal
349,346,2.81,Normal
350,718,8.12,Normal
351,360,9.39,Normal
352,526,10.0,Normal
353,854,4.01,Normal
354,256,4.77,Normal
355,111,1.74,Normal
356,429,6.35,Normal
357,721,7.32,Normal
358,597,5.39,Normal
359,488,6.33,Normal
360,740,8.23,Normal
361,362,3.99,Normal
362,541,2.65,Normal
363,952,6.77,Normal
364,75,1.94,Normal
365,496,8.58,Normal
366,621,6.04,Normal
367,759,1.81,Normal
368,993,6.2,Normal
369,94,5.05,Normal
370,743,1.81,Normal
371,934,1.62,Normal
372,143,1.55,Normal
373,965,8.68,Low
374,487,8.35,Normal
375,868,7.41,Low
376,78,7.74,Normal
377,323,5.39,Normal
378,390,1.25,Normal
379,994,9.27,Normal
380,59,9.6,Normal
381,606,2.38,Normal
382,867,9.29,Normal
383,57,7.55,Normal
384,381,7.98,Normal
385,756,7.26,Normal
386,116,2.04,Low
387,21,5.9,Normal
388,254,6.53,Normal
389,713,6.28,Normal
390,794,4.71,Normal
391,508,1.08,Normal
392,630,5.7,Normal
393,81,5.23,Low
394,874,7.08,Normal
395,273,8.37,Normal
396,344,5.96,Normal
397,655,3.49,Normal
398,661,7.12,Normal
399,79,5.15,Normal
400,842,4.08,Low
401,825,9.69,Low
402,365,2.3,Normal
403,175,1.58,Normal
404,115,2.28,Normal
405,12,8.13,Normal
406,360,1.2,Normal
407,470,4.47,Normal
408,635,8.74,Low
409,105,8.93,Normal
410,939,5.74,Normal
411,484,2.51,Normal
412,166,4.38,Normal
413,43,9.4,Normal
414,928,9.45,Normal
415,908,8.25,Normal
416,248,5.41,Low
417,809,9.55,Normal
418,91,4.7,Low
419,189,9.47,Normal
420,441,9.65,Low
421,665,7.55,Normal
422,235,8.39,Low
423,35,4.67,Normal
424,793,5.2,Normal
425,350,2.09,Low
426,340,6.37,Normal
427,596,9.0,Normal
428,276,2.72,Normal
429,753,2.21,Normal
430,764,7.95,Normal
431,199,1.91,Normal
432,785,2.51,Low
433,898,1.58,Normal
434,834,6.59,Normal
435,632,3.11,Low
436,570,5.76,Normal
437,388,9.46,Normal
438,952,2.69,Normal
439,787,3.92,Normal
440,721,9.43,Normal
441,534,1.77,Normal
442,511,7.14,Normal
443,746,7.69,Normal
444,140,1.33,Low
445,31,1.03,Normal
446,626,2.65,Normal
447,159,6.64,Normal
448,140,2.36,Normal
449,404,9.3,Normal
450,638,7.22,Normal
451,850,4.88,Normal
452,648,7.47,Normal
453,576,2.11,Normal
454,210,6.39,Normal
455,821,3.05,Normal
456,226,8.43,Normal
457,811,8.55,Normal
458,263,8.95,Normal
459,710,9.34,Normal
460,271,8.47,Normal
461,631,7.15,Normal
462,392,3.29,Normal
463,214,9.96,Normal
464,506,6.78,Normal
465,307,4.04,Normal
466,554,8.37,Normal
467,517,1.68,Normal
468,988,3.25,Normal
469,384,1.93,Normal
470,617,4.98,Normal
471,869,2.25,Low
472,397,3.13,Normal
473,889,5.63,Normal
474,647,2.42,Normal
475,990,2.24,Normal
476,215,4.54,Normal
477,418,4.39,Normal
478,858,8.89,Normal
479,351,5.99,Normal
480,187,5.91,Low
481,470,1.84,Normal
482,813,6.7,Normal
483,769,6.52,Normal
484,155,5.05,Normal
485,682,5.03,Normal
486,461,3.13,Normal
487,148,8.0,Low
488,44,8.69,Normal
489,190,3.9,Normal
490,845,4.05,Normal
491,725,9.81,Normal
492,301,5.05,Normal
493,21,7.13,Normal
494,588,6.24,Normal
495,757,3.04,Normal
496,613,8.5,Normal
497,315,4.24,Normal
498,266,1.12,Normal
499,806,5.24,Normal
500,673,6.96,Normal
