Revenue,Costs,GrossMargin,ProfitabilityByProductCategory
64088.22,46104.02,0.38,C-PVC (chlorinated PVC)
11170.01,5942.04,0.29,Modified PVC
31806.55,47475.77,0.27,PVC-U (unplasticised PVC)
55700.99,33151.39,0.33,PVC-O (molecular oriented PVC)
78127.89,21924.37,0.21,PVC-U (unplasticised PVC)
97444.79,45076.76,0.25,PVC-U (unplasticised PVC)
80461.68,39303.59,0.45,PVC-U (unplasticised PVC)
93091.67,33491.23,0.41,PVC-U (unplasticised PVC)
19402.04,30784.85,0.19,C-PVC (chlorinated PVC)
83167.5,32778.12,0.42,Modified PVC
74184.31,32133.68,0.35,Modified PVC
82363.23,20866.74,0.17,PVC-O (molecular oriented PVC)
20002.16,15610.2,0.38,C-PVC (chlorinated PVC)
26068.97,26798.18,0.17,PVC-O (molecular oriented PVC)
87824.64,6854.47,0.38,C-PVC (chlorinated PVC)
91370.92,6334.65,0.39,C-PVC (chlorinated PVC)
58850.79,45296.49,0.39,Modified PVC
11617.24,7794.93,0.12,C-PVC (chlorinated PVC)
25212.05,34239.07,0.36,PVC-U (unplasticised PVC)
16152.58,32124.53,0.34,Modified PVC
81355.22,5342.83,0.22,PVC-O (molecular oriented PVC)
22762.15,37009.65,0.14,Modified PVC
23439.31,41397.54,0.21,C-PVC (chlorinated PVC)
92191.22,22383.52,0.32,PVC-U (unplasticised PVC)
12860.49,10906.31,0.11,Modified PVC
70788.28,20480.62,0.35,C-PVC (chlorinated PVC)
44701.68,49494.78,0.25,C-PVC (chlorinated PVC)
67639.9,22454.2,0.12,PVC-U (unplasticised PVC)
25611.12,47212.89,0.25,PVC-U (unplasticised PVC)
28927.0,47416.05,0.27,C-PVC (chlorinated PVC)
14160.3,25217.65,0.38,C-PVC (chlorinated PVC)
41426.64,6283.62,0.29,C-PVC (chlorinated PVC)
92465.23,8732.98,0.3,PVC-O (molecular oriented PVC)
61254.96,22619.3,0.45,C-PVC (chlorinated PVC)
41382.17,40769.47,0.32,Modified PVC
78214.53,32997.95,0.11,PVC-O (molecular oriented PVC)
97294.52,35925.89,0.45,C-PVC (chlorinated PVC)
22569.46,12482.56,0.21,PVC-U (unplasticised PVC)
75321.15,17317.92,0.17,PVC-O (molecular oriented PVC)
81703.04,40219.14,0.23,PVC-U (unplasticised PVC)
41549.21,17841.38,0.19,Modified PVC
97491.02,20950.83,0.32,Modified PVC
94378.19,7306.11,0.19,PVC-U (unplasticised PVC)
20582.72,20085.32,0.44,C-PVC (chlorinated PVC)
45265.82,49704.92,0.12,PVC-U (unplasticised PVC)
59588.14,12435.41,0.29,Modified PVC
75005.86,35125.58,0.33,C-PVC (chlorinated PVC)
82111.86,43591.52,0.37,Modified PVC
79871.75,44837.64,0.28,Modified PVC
28134.15,13860.5,0.18,PVC-O (molecular oriented PVC)
23956.97,33035.38,0.36,C-PVC (chlorinated PVC)
34856.78,29963.5,0.25,Modified PVC
91536.77,43990.89,0.33,PVC-U (unplasticised PVC)
37966.0,36806.09,0.47,C-PVC (chlorinated PVC)
53392.63,21405.58,0.47,C-PVC (chlorinated PVC)
91662.26,38277.82,0.42,Modified PVC
77422.49,27367.56,0.35,Modified PVC
92393.65,45245.1,0.26,PVC-O (molecular oriented PVC)
95472.44,16007.33,0.23,Modified PVC
56638.86,44010.07,0.43,C-PVC (chlorinated PVC)
87412.05,44193.29,0.38,PVC-U (unplasticised PVC)
48661.89,13904.07,0.47,Modified PVC
74204.86,27851.36,0.3,C-PVC (chlorinated PVC)
29673.98,37344.98,0.23,Modified PVC
20942.86,7410.25,0.4,Modified PVC
81113.77,14483.78,0.11,Modified PVC
82697.93,14365.26,0.31,C-PVC (chlorinated PVC)
47822.15,49796.24,0.32,Modified PVC
19343.71,37238.92,0.17,C-PVC (chlorinated PVC)
37185.84,35327.2,0.22,PVC-O (molecular oriented PVC)
51694.82,39468.74,0.38,PVC-U (unplasticised PVC)
54141.69,37163.57,0.27,PVC-O (molecular oriented PVC)
93550.1,9339.11,0.31,C-PVC (chlorinated PVC)
31371.05,28789.11,0.12,Modified PVC
41941.89,28254.86,0.15,Modified PVC
33373.55,34881.62,0.41,C-PVC (chlorinated PVC)
52049.82,30804.43,0.44,Modified PVC
97435.25,49550.9,0.31,PVC-O (molecular oriented PVC)
34941.17,44742.13,0.13,PVC-U (unplasticised PVC)
38275.49,49738.81,0.23,PVC-U (unplasticised PVC)
98578.26,14049.28,0.47,Modified PVC
29826.82,36657.92,0.24,PVC-O (molecular oriented PVC)
96011.93,31553.65,0.47,C-PVC (chlorinated PVC)
69248.41,16494.8,0.21,PVC-O (molecular oriented PVC)
36508.0,48538.05,0.35,PVC-U (unplasticised PVC)
60878.7,8518.99,0.41,PVC-U (unplasticised PVC)
18872.83,11710.2,0.15,PVC-U (unplasticised PVC)
38165.3,42237.98,0.25,PVC-U (unplasticised PVC)
82033.96,15436.23,0.25,PVC-U (unplasticised PVC)
83230.14,44996.55,0.28,C-PVC (chlorinated PVC)
46928.21,23102.5,0.37,PVC-U (unplasticised PVC)
67999.27,45046.32,0.18,C-PVC (chlorinated PVC)
90985.33,32178.41,0.27,PVC-U (unplasticised PVC)
59642.83,39063.63,0.33,Modified PVC
91206.51,20726.4,0.25,Modified PVC
91882.79,35283.98,0.48,C-PVC (chlorinated PVC)
99812.05,29051.16,0.3,Modified PVC
66781.28,27763.67,0.23,PVC-U (unplasticised PVC)
84591.18,25505.77,0.12,Modified PVC
60018.79,11874.85,0.34,Modified PVC
53566.11,46718.66,0.24,PVC-O (molecular oriented PVC)
85938.15,14407.4,0.22,C-PVC (chlorinated PVC)
10981.36,35087.75,0.16,PVC-O (molecular oriented PVC)
80900.61,32584.67,0.46,PVC-O (molecular oriented PVC)
90795.9,20678.64,0.1,C-PVC (chlorinated PVC)
39656.06,13632.69,0.42,Modified PVC
87170.74,18293.4,0.38,Modified PVC
98410.89,10630.09,0.45,PVC-O (molecular oriented PVC)
80505.97,40616.73,0.38,Modified PVC
56899.52,34284.04,0.48,PVC-O (molecular oriented PVC)
75793.68,41862.44,0.4,C-PVC (chlorinated PVC)
66690.3,47091.51,0.27,PVC-U (unplasticised PVC)
12511.27,17733.31,0.23,PVC-O (molecular oriented PVC)
38355.78,15490.33,0.43,C-PVC (chlorinated PVC)
38126.9,18132.45,0.36,Modified PVC
38317.51,43253.58,0.39,PVC-O (molecular oriented PVC)
49679.1,49285.82,0.18,C-PVC (chlorinated PVC)
75559.23,25282.41,0.5,PVC-O (molecular oriented PVC)
24337.06,49273.24,0.17,C-PVC (chlorinated PVC)
46333.19,45267.77,0.38,C-PVC (chlorinated PVC)
74259.22,41468.91,0.16,Modified PVC
82433.2,21537.99,0.22,Modified PVC
83463.47,40841.06,0.25,PVC-U (unplasticised PVC)
68811.83,16280.57,0.41,PVC-U (unplasticised PVC)
55773.43,9388.9,0.2,C-PVC (chlorinated PVC)
45889.95,30600.85,0.3,C-PVC (chlorinated PVC)
58838.95,42909.15,0.5,Modified PVC
17403.77,17530.06,0.47,Modified PVC
48594.58,41300.7,0.46,C-PVC (chlorinated PVC)
83721.66,49640.25,0.31,Modified PVC
69696.83,8595.23,0.3,C-PVC (chlorinated PVC)
94748.57,34327.12,0.33,PVC-U (unplasticised PVC)
70315.14,33730.74,0.21,PVC-U (unplasticised PVC)
71484.3,30321.74,0.11,Modified PVC
33061.16,35734.04,0.42,Modified PVC
59672.51,35518.47,0.11,Modified PVC
50214.23,35911.4,0.22,Modified PVC
75945.84,10747.83,0.14,PVC-O (molecular oriented PVC)
44334.83,43648.49,0.29,C-PVC (chlorinated PVC)
90549.71,31389.81,0.3,PVC-O (molecular oriented PVC)
77290.82,24529.06,0.31,PVC-O (molecular oriented PVC)
11302.33,5634.96,0.27,PVC-O (molecular oriented PVC)
76126.07,7259.63,0.16,Modified PVC
95436.16,8950.41,0.19,Modified PVC
61466.15,29115.33,0.15,PVC-O (molecular oriented PVC)
56703.54,21057.5,0.14,PVC-U (unplasticised PVC)
75824.55,32501.26,0.49,PVC-U (unplasticised PVC)
64771.82,44193.24,0.21,Modified PVC
33211.01,47678.05,0.36,C-PVC (chlorinated PVC)
92560.03,16294.6,0.35,Modified PVC
57355.92,21081.19,0.27,PVC-U (unplasticised PVC)
35983.0,38778.16,0.44,PVC-O (molecular oriented PVC)
62389.93,37942.16,0.29,PVC-O (molecular oriented PVC)
90112.48,8074.17,0.27,Modified PVC
43626.66,41886.35,0.26,PVC-O (molecular oriented PVC)
45370.36,28248.69,0.1,PVC-O (molecular oriented PVC)
95041.52,36546.44,0.31,Modified PVC
36745.43,44318.08,0.4,PVC-O (molecular oriented PVC)
61001.89,49179.84,0.25,Modified PVC
61622.12,49140.17,0.4,Modified PVC
42948.93,49065.91,0.15,Modified PVC
47756.42,31587.82,0.38,Modified PVC
86500.98,9303.49,0.15,PVC-U (unplasticised PVC)
33917.2,24265.93,0.19,PVC-U (unplasticised PVC)
77880.0,46441.19,0.28,C-PVC (chlorinated PVC)
11483.82,40150.67,0.45,C-PVC (chlorinated PVC)
80262.54,17181.39,0.18,Modified PVC
50951.01,49912.5,0.49,PVC-U (unplasticised PVC)
67930.95,33144.18,0.46,Modified PVC
73993.14,37322.26,0.25,Modified PVC
49328.4,43372.96,0.35,PVC-O (molecular oriented PVC)
93619.99,21284.23,0.44,C-PVC (chlorinated PVC)
13052.09,34192.48,0.48,PVC-U (unplasticised PVC)
29194.99,25003.23,0.26,PVC-U (unplasticised PVC)
92444.23,21356.08,0.26,PVC-U (unplasticised PVC)
94801.82,11656.41,0.48,PVC-O (molecular oriented PVC)
76954.62,24991.73,0.12,PVC-O (molecular oriented PVC)
58216.4,6840.08,0.38,Modified PVC
22314.78,41713.8,0.29,PVC-O (molecular oriented PVC)
37695.09,17491.5,0.15,Modified PVC
89512.56,48912.64,0.43,PVC-O (molecular oriented PVC)
96336.36,19312.61,0.48,PVC-O (molecular oriented PVC)
55413.82,34860.15,0.2,C-PVC (chlorinated PVC)
91362.59,25457.89,0.31,C-PVC (chlorinated PVC)
20965.59,5229.98,0.4,PVC-U (unplasticised PVC)
62830.57,21240.26,0.11,C-PVC (chlorinated PVC)
74599.21,15978.05,0.38,PVC-O (molecular oriented PVC)
69995.01,29009.09,0.43,Modified PVC
50794.27,30188.9,0.35,PVC-O (molecular oriented PVC)
89520.97,15364.91,0.39,Modified PVC
41879.91,12930.78,0.36,PVC-U (unplasticised PVC)
18660.09,42071.23,0.25,PVC-O (molecular oriented PVC)
86157.62,44059.08,0.42,Modified PVC
13053.33,11064.66,0.34,C-PVC (chlorinated PVC)
24190.03,11183.18,0.18,Modified PVC
60745.57,9354.29,0.39,C-PVC (chlorinated PVC)
36729.58,31539.59,0.37,Modified PVC
86934.39,45726.46,0.4,Modified PVC
46125.78,41054.05,0.38,Modified PVC
75715.89,48423.5,0.37,PVC-O (molecular oriented PVC)
67807.96,20663.18,0.48,PVC-U (unplasticised PVC)
44921.47,43432.24,0.12,PVC-U (unplasticised PVC)
13748.03,31814.66,0.32,PVC-U (unplasticised PVC)
35775.73,24743.05,0.37,C-PVC (chlorinated PVC)
26470.55,39420.26,0.14,Modified PVC
32158.22,29642.84,0.12,Modified PVC
19122.45,23000.65,0.23,PVC-U (unplasticised PVC)
60877.03,11290.51,0.4,PVC-O (molecular oriented PVC)
22947.0,29151.99,0.39,C-PVC (chlorinated PVC)
97737.45,10992.25,0.13,C-PVC (chlorinated PVC)
98189.65,21262.94,0.41,PVC-U (unplasticised PVC)
61068.44,39818.46,0.15,C-PVC (chlorinated PVC)
43827.48,7411.87,0.46,C-PVC (chlorinated PVC)
51762.15,13845.1,0.46,Modified PVC
67515.26,40145.13,0.37,C-PVC (chlorinated PVC)
99653.57,38703.8,0.15,Modified PVC
69493.62,9056.46,0.37,C-PVC (chlorinated PVC)
40443.04,8712.49,0.46,PVC-O (molecular oriented PVC)
81561.57,27135.42,0.12,C-PVC (chlorinated PVC)
78070.33,34112.86,0.25,C-PVC (chlorinated PVC)
73230.08,20403.63,0.41,Modified PVC
36077.86,38592.13,0.44,C-PVC (chlorinated PVC)
39307.88,22072.92,0.34,PVC-O (molecular oriented PVC)
10830.4,33123.61,0.17,Modified PVC
28518.32,48841.91,0.31,PVC-O (molecular oriented PVC)
39230.04,40946.07,0.11,Modified PVC
64970.36,45015.97,0.16,Modified PVC
42186.9,5368.26,0.47,PVC-U (unplasticised PVC)
91084.68,16211.96,0.3,C-PVC (chlorinated PVC)
59621.81,47116.27,0.32,PVC-U (unplasticised PVC)
49958.33,38856.32,0.23,PVC-U (unplasticised PVC)
84113.13,41135.21,0.44,Modified PVC
12707.44,49520.25,0.34,PVC-U (unplasticised PVC)
37578.77,28003.96,0.12,PVC-U (unplasticised PVC)
75584.97,33117.03,0.41,PVC-U (unplasticised PVC)
36967.78,15957.94,0.35,Modified PVC
90878.67,37814.01,0.22,Modified PVC
90451.76,7670.15,0.38,C-PVC (chlorinated PVC)
11730.24,29657.04,0.15,PVC-U (unplasticised PVC)
79516.43,31452.38,0.48,PVC-O (molecular oriented PVC)
43939.48,40389.33,0.14,PVC-U (unplasticised PVC)
41582.26,47634.55,0.45,C-PVC (chlorinated PVC)
80769.17,32023.0,0.39,C-PVC (chlorinated PVC)
64304.24,6731.63,0.17,PVC-U (unplasticised PVC)
10866.0,18320.2,0.38,PVC-U (unplasticised PVC)
73380.5,27398.06,0.11,C-PVC (chlorinated PVC)
54547.99,34832.85,0.21,C-PVC (chlorinated PVC)
34192.12,22904.17,0.4,PVC-U (unplasticised PVC)
24057.04,15520.3,0.33,Modified PVC
90119.48,43368.1,0.11,PVC-U (unplasticised PVC)
43228.38,21189.81,0.48,C-PVC (chlorinated PVC)
25107.47,5949.02,0.37,PVC-U (unplasticised PVC)
18466.35,48725.24,0.11,Modified PVC
37519.79,6345.77,0.38,PVC-U (unplasticised PVC)
76921.45,42211.51,0.18,PVC-O (molecular oriented PVC)
96175.44,47911.32,0.37,C-PVC (chlorinated PVC)
40807.01,20646.49,0.38,C-PVC (chlorinated PVC)
73937.33,47342.72,0.35,C-PVC (chlorinated PVC)
62579.34,30238.06,0.28,C-PVC (chlorinated PVC)
77384.86,42883.9,0.11,Modified PVC
65478.17,30911.96,0.16,Modified PVC
12143.32,49607.39,0.34,PVC-O (molecular oriented PVC)
95536.17,12135.4,0.28,PVC-O (molecular oriented PVC)
47347.48,20524.06,0.45,PVC-U (unplasticised PVC)
51981.64,6240.13,0.2,Modified PVC
38701.68,18574.28,0.27,C-PVC (chlorinated PVC)
41322.19,36592.14,0.32,PVC-U (unplasticised PVC)
20981.18,36354.82,0.12,Modified PVC
23823.47,9957.81,0.17,C-PVC (chlorinated PVC)
69408.59,21833.95,0.17,PVC-O (molecular oriented PVC)
24174.66,12787.04,0.31,Modified PVC
25331.24,49844.78,0.49,PVC-O (molecular oriented PVC)
60056.8,32332.59,0.38,C-PVC (chlorinated PVC)
47341.51,21813.07,0.31,PVC-U (unplasticised PVC)
82257.98,35500.41,0.33,PVC-U (unplasticised PVC)
31462.23,46916.0,0.24,C-PVC (chlorinated PVC)
95947.98,39577.92,0.15,PVC-U (unplasticised PVC)
40879.81,15277.24,0.32,C-PVC (chlorinated PVC)
15391.38,20635.05,0.11,PVC-U (unplasticised PVC)
78350.32,24079.79,0.23,Modified PVC
27784.8,29815.5,0.31,Modified PVC
79467.98,34615.36,0.34,PVC-O (molecular oriented PVC)
72550.56,7901.38,0.38,C-PVC (chlorinated PVC)
13925.63,6232.31,0.38,C-PVC (chlorinated PVC)
40878.38,32809.98,0.35,Modified PVC
47228.39,34052.76,0.13,C-PVC (chlorinated PVC)
28124.03,23853.42,0.33,Modified PVC
26863.43,25259.65,0.49,PVC-O (molecular oriented PVC)
56154.75,43089.67,0.5,Modified PVC
84157.29,48887.16,0.19,Modified PVC
14660.83,19438.65,0.27,PVC-O (molecular oriented PVC)
43931.73,16418.72,0.4,PVC-U (unplasticised PVC)
44079.89,12709.73,0.37,Modified PVC
81294.41,38668.85,0.41,C-PVC (chlorinated PVC)
11430.78,25432.46,0.11,C-PVC (chlorinated PVC)
13569.83,42669.91,0.36,C-PVC (chlorinated PVC)
29908.35,46499.23,0.11,Modified PVC
19745.2,33833.27,0.31,C-PVC (chlorinated PVC)
67202.07,24660.43,0.3,PVC-O (molecular oriented PVC)
17845.97,15053.45,0.39,PVC-U (unplasticised PVC)
31233.83,27973.09,0.16,PVC-U (unplasticised PVC)
64962.74,28420.96,0.14,C-PVC (chlorinated PVC)
98769.52,32655.14,0.26,Modified PVC
35449.79,8382.11,0.22,PVC-U (unplasticised PVC)
21921.83,31384.82,0.37,PVC-U (unplasticised PVC)
38129.19,23167.12,0.44,C-PVC (chlorinated PVC)
84978.14,34029.0,0.29,PVC-O (molecular oriented PVC)
43406.86,26346.11,0.19,C-PVC (chlorinated PVC)
59170.23,44355.4,0.23,C-PVC (chlorinated PVC)
52119.51,14447.62,0.42,PVC-U (unplasticised PVC)
80567.18,6633.06,0.17,Modified PVC
73783.74,15789.62,0.17,C-PVC (chlorinated PVC)
48749.22,46816.37,0.21,PVC-U (unplasticised PVC)
85911.59,34296.81,0.22,PVC-O (molecular oriented PVC)
35717.68,32387.11,0.48,PVC-U (unplasticised PVC)
75458.39,20682.37,0.26,PVC-O (molecular oriented PVC)
50245.61,15524.29,0.35,PVC-O (molecular oriented PVC)
66211.97,49134.41,0.48,PVC-O (molecular oriented PVC)
30043.43,44720.76,0.3,PVC-O (molecular oriented PVC)
18237.31,23557.57,0.48,Modified PVC
71086.29,21690.31,0.3,Modified PVC
85230.42,11605.36,0.21,PVC-O (molecular oriented PVC)
10159.28,22673.84,0.16,PVC-U (unplasticised PVC)
65037.04,23720.82,0.23,PVC-U (unplasticised PVC)
24689.45,37322.07,0.21,C-PVC (chlorinated PVC)
91388.46,27657.62,0.15,PVC-O (molecular oriented PVC)
16111.72,33599.36,0.44,PVC-O (molecular oriented PVC)
10701.44,42304.57,0.25,C-PVC (chlorinated PVC)
31150.59,11260.18,0.46,C-PVC (chlorinated PVC)
39571.24,33401.92,0.28,C-PVC (chlorinated PVC)
65006.73,16664.07,0.41,C-PVC (chlorinated PVC)
79261.6,10257.54,0.41,C-PVC (chlorinated PVC)
91695.06,41806.54,0.5,PVC-U (unplasticised PVC)
76958.67,18717.5,0.12,C-PVC (chlorinated PVC)
83430.27,15058.34,0.19,Modified PVC
17431.38,35564.03,0.32,C-PVC (chlorinated PVC)
23282.94,13168.55,0.15,PVC-O (molecular oriented PVC)
98340.02,26573.2,0.23,PVC-O (molecular oriented PVC)
63234.07,36462.14,0.12,PVC-U (unplasticised PVC)
23081.67,34779.09,0.32,C-PVC (chlorinated PVC)
71554.45,37438.51,0.17,C-PVC (chlorinated PVC)
97126.49,43444.26,0.38,PVC-O (molecular oriented PVC)
19368.53,25129.81,0.35,Modified PVC
74864.54,39242.05,0.37,Modified PVC
37976.83,14077.05,0.29,PVC-O (molecular oriented PVC)
28243.9,28866.98,0.23,C-PVC (chlorinated PVC)
74416.69,47968.24,0.48,PVC-O (molecular oriented PVC)
38866.76,37659.82,0.28,PVC-O (molecular oriented PVC)
33924.56,46829.07,0.29,PVC-O (molecular oriented PVC)
