TotalSales,SalesByCategory,SalesByProduct,SalesByRegion,SalesByCity
6127.27,C-PVC (chlorinated PVC),Cleaning Product,Holtton,Morenoport
9399.77,Modified PVC,SANITARY PRODUCT,Sarahstad,West Christinehaven
6787.55,PVC-U (unplasticised PVC),Water Tanks,Travismouth,Gonzalezchester
8650.81,Modified PVC,SANITARY PRODUCT,New Jessica,Port Alexis
8030.25,PVC-U (unplasticised PVC),Industrial Product,Lake Stephanie,Lawrenceview
8845.15,PVC-O (molecular oriented PVC),Water Tanks,Edwardschester,West Mark
4147.03,PVC-U (unplasticised PVC),Water Tanks,Danielstad,Lindamouth
7021.53,Modified PVC,Water Tanks,Estesshire,South Philiphaven
1958.83,PVC-U (unplasticised PVC),Cleaning Product,Dennisport,Whitefurt
1396.63,PVC-U (unplasticised PVC),Agricultural Product,North Susan,North Lauraburgh
7756.27,C-PVC (chlorinated PVC),Industrial Product,Cruzchester,Lisaville
2642.58,C-PVC (chlorinated PVC),SANITARY PRODUCT,Wolfmouth,Port David
7269.83,PVC-O (molecular oriented PVC),Agricultural Product,New Christinemouth,New Christopher
4298.88,Modified PVC,Plumbing Product,North Cathyborough,Rollinsberg
5630.5,Modified PVC,SANITARY PRODUCT,Lake Richardton,Port Phillipport
6799.6,PVC-U (unplasticised PVC),Water Tanks,Curtisview,Port Brittanyside
5392.5,PVC-U (unplasticised PVC),Water Tanks,Taylorview,Port Stephanie
4753.4,PVC-U (unplasticised PVC),Agricultural Product,West Matthew,Gomezfurt
4014.19,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Jimenezhaven,Riveratown
7996.32,PVC-U (unplasticised PVC),Industrial Product,New Lori,Port Lisaburgh
2858.5,C-PVC (chlorinated PVC),Plumbing Product,Thompsonville,Patriciaport
1303.65,Modified PVC,Water Tanks,South Nathaniel,South Sarahfurt
7947.15,C-PVC (chlorinated PVC),Water Tanks,Jonestown,Melissahaven
5140.01,PVC-O (molecular oriented PVC),Water Tanks,Thomasshire,West Danielside
4270.46,PVC-O (molecular oriented PVC),SANITARY PRODUCT,North Amy,East Brittany
9810.97,Modified PVC,Plumbing Product,Baldwinview,Stewartland
5300.09,PVC-U (unplasticised PVC),SANITARY PRODUCT,Powerston,Brooksborough
6542.08,PVC-U (unplasticised PVC),Plumbing Product,Rogerston,East Amychester
1240.51,PVC-O (molecular oriented PVC),Industrial Product,New Christophertown,Jacobsonburgh
7161.97,PVC-U (unplasticised PVC),Water Tanks,South Ericaview,Stewartstad
1435.08,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Port Scott,South Kevinmouth
8082.32,C-PVC (chlorinated PVC),Plumbing Product,West Thomas,Gravesport
1676.49,PVC-O (molecular oriented PVC),Agricultural Product,South Ashleyberg,Garnerfort
8639.1,PVC-U (unplasticised PVC),Industrial Product,Hallborough,Sanchezbury
8279.28,PVC-U (unplasticised PVC),Agricultural Product,East Joseph,North Debraport
2107.7,Modified PVC,Cleaning Product,Zamorabury,New Stephaniestad
3359.43,C-PVC (chlorinated PVC),Agricultural Product,Stevenside,Curtisburgh
7796.64,Modified PVC,Plumbing Product,West April,New Gregoryview
1702.79,PVC-O (molecular oriented PVC),Plumbing Product,Port Alexander,Lake Ashley
4658.01,PVC-U (unplasticised PVC),Agricultural Product,Ballardport,East Jessica
3123.76,C-PVC (chlorinated PVC),Water Tanks,South Jeffrey,North Jose
8157.9,PVC-O (molecular oriented PVC),Industrial Product,Taylormouth,Barkershire
2946.74,C-PVC (chlorinated PVC),Water Tanks,North Gary,South Melissa
3484.94,C-PVC (chlorinated PVC),Industrial Product,East Jesse,Veronicamouth
6289.44,Modified PVC,Agricultural Product,New Kristin,West Jesus
4552.03,Modified PVC,SANITARY PRODUCT,South Emilyville,Collinsland
9349.15,Modified PVC,Water Tanks,Alexandermouth,Lake Nathan
4324.92,PVC-U (unplasticised PVC),SANITARY PRODUCT,West Tiffanyburgh,Mackstad
9917.34,Modified PVC,Agricultural Product,Beckerchester,New Jeffreyborough
8518.69,PVC-U (unplasticised PVC),Agricultural Product,East Christopher,Bradstad
5633.05,PVC-O (molecular oriented PVC),Plumbing Product,South Jacquelinechester,Campbellbury
4715.81,Modified PVC,Cleaning Product,Antoniotown,Ramosburgh
2926.43,C-PVC (chlorinated PVC),Cleaning Product,Rhondamouth,West Kristintown
6218.18,Modified PVC,Plumbing Product,South Joshuafurt,Thomasland
1157.94,C-PVC (chlorinated PVC),Cleaning Product,Stewartberg,Wolfeton
2576.32,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Singletonville,Port Timothy
2271.52,PVC-U (unplasticised PVC),Cleaning Product,Davismouth,Abigailville
1893.64,PVC-O (molecular oriented PVC),Cleaning Product,Bakerborough,Jessicatown
4467.51,PVC-O (molecular oriented PVC),Water Tanks,New Walter,Frankfort
6066.17,PVC-U (unplasticised PVC),SANITARY PRODUCT,Lake Kaitlynberg,Jennifermouth
4420.62,PVC-U (unplasticised PVC),Plumbing Product,Dawnland,Tateborough
9195.94,C-PVC (chlorinated PVC),SANITARY PRODUCT,Robertburgh,Bowmanshire
2124.92,Modified PVC,Water Tanks,West Regina,North Aliciaton
9793.04,PVC-O (molecular oriented PVC),Water Tanks,Melaniemouth,West Breannashire
8575.98,PVC-U (unplasticised PVC),Cleaning Product,East Lacey,Alexfurt
9515.23,Modified PVC,Plumbing Product,Timothyfurt,Lake Jenniferberg
3412.83,PVC-O (molecular oriented PVC),Cleaning Product,Vasquezville,Melissafort
5473.69,Modified PVC,Water Tanks,East Christopher,North Adamland
9754.32,C-PVC (chlorinated PVC),Industrial Product,West Jonathan,Christopherburgh
3076.36,Modified PVC,Water Tanks,Greenemouth,Moralesview
9840.71,Modified PVC,Cleaning Product,South Wendyton,Mcclurefurt
8961.68,PVC-U (unplasticised PVC),Cleaning Product,North Tyler,South Jenniferview
7102.41,PVC-U (unplasticised PVC),SANITARY PRODUCT,Port Jeffrey,Ianport
8515.48,PVC-O (molecular oriented PVC),Agricultural Product,South Justintown,New Sherryfurt
4251.67,Modified PVC,Industrial Product,West Janeport,Johnsonhaven
2897.56,PVC-U (unplasticised PVC),Cleaning Product,New Loganfurt,Petersonburgh
3452.91,PVC-U (unplasticised PVC),Water Tanks,Markborough,South John
3052.29,Modified PVC,Plumbing Product,Port Edgarfurt,Lake Angelica
6941.21,PVC-U (unplasticised PVC),Water Tanks,New Jesse,Davisview
9415.73,Modified PVC,SANITARY PRODUCT,Port Christinaton,North Ashley
3924.49,PVC-U (unplasticised PVC),Water Tanks,North Andrea,Williamsfurt
4848.5,Modified PVC,SANITARY PRODUCT,Kristenberg,Meganborough
6794.17,Modified PVC,SANITARY PRODUCT,Stevemouth,West Karen
6130.59,PVC-U (unplasticised PVC),Cleaning Product,Lake Jessicaton,North Michaelton
1969.75,C-PVC (chlorinated PVC),Plumbing Product,Gloverburgh,North Karenchester
7697.53,PVC-O (molecular oriented PVC),Agricultural Product,South Robin,Angelaland
2027.28,PVC-O (molecular oriented PVC),Water Tanks,Caseymouth,East Nicholasville
7447.15,PVC-O (molecular oriented PVC),Industrial Product,Gregorychester,Adamton
4078.08,Modified PVC,SANITARY PRODUCT,Williamsfort,Kaylashire
3065.82,Modified PVC,Industrial Product,Vasquezmouth,Leonardview
3568.32,Modified PVC,Cleaning Product,Michelestad,Adamsstad
8716.06,PVC-U (unplasticised PVC),Industrial Product,Lake Henry,East Austin
6575.36,Modified PVC,Agricultural Product,Dillonview,Port Anthonybury
8196.44,PVC-O (molecular oriented PVC),Water Tanks,Lake Mark,South Nicole
5599.2,PVC-U (unplasticised PVC),Industrial Product,Port Manuelborough,East Mary
6689.2,C-PVC (chlorinated PVC),Agricultural Product,Bryantview,Oneillfort
1032.95,PVC-O (molecular oriented PVC),Cleaning Product,Amandaview,Port Williamview
7544.07,PVC-U (unplasticised PVC),Industrial Product,Jennyborough,Smithton
3490.95,PVC-O (molecular oriented PVC),Water Tanks,New Katie,Wangstad
6322.96,C-PVC (chlorinated PVC),Agricultural Product,Lake Virginiaview,New Thomasborough
9540.75,Modified PVC,Agricultural Product,Davisland,Thomasshire
1336.17,PVC-U (unplasticised PVC),Plumbing Product,Mcdonaldtown,North Amberview
3394.2,C-PVC (chlorinated PVC),Agricultural Product,South Rickhaven,Katherinestad
9311.36,C-PVC (chlorinated PVC),Industrial Product,Lake Elizabeth,South Ryanview
5164.48,PVC-O (molecular oriented PVC),Agricultural Product,Barretthaven,Brandiport
2511.73,Modified PVC,Agricultural Product,North Steven,Port Jamie
1900.7,PVC-O (molecular oriented PVC),Plumbing Product,Mcintoshmouth,North Morganburgh
6804.67,PVC-O (molecular oriented PVC),Cleaning Product,Rebeccaport,Markmouth
6078.4,PVC-O (molecular oriented PVC),Cleaning Product,West Tammy,North Kennethtown
1487.2,PVC-O (molecular oriented PVC),Cleaning Product,Allenberg,Ryanville
4655.55,PVC-U (unplasticised PVC),Water Tanks,North Ray,Davidland
6531.23,PVC-O (molecular oriented PVC),Water Tanks,Jimshire,East Charlesbury
9832.52,PVC-O (molecular oriented PVC),Cleaning Product,West Jesse,South Davidside
9654.84,C-PVC (chlorinated PVC),Water Tanks,North Rachelhaven,Dorothymouth
6810.95,Modified PVC,Plumbing Product,Robertshire,Petersonton
8595.63,Modified PVC,Water Tanks,East Jodi,North William
9260.07,C-PVC (chlorinated PVC),Industrial Product,Brandonville,Stevenhaven
7749.14,PVC-U (unplasticised PVC),Plumbing Product,Penaton,Reneeton
8154.71,PVC-O (molecular oriented PVC),Water Tanks,Beverlyshire,Michaelfurt
2000.93,PVC-U (unplasticised PVC),Plumbing Product,South Brandonstad,Baileystad
3344.35,PVC-O (molecular oriented PVC),Water Tanks,Lake Lisa,Hartville
1138.26,PVC-O (molecular oriented PVC),Agricultural Product,East Vincent,Stewartborough
7586.66,PVC-O (molecular oriented PVC),Plumbing Product,Sullivanshire,Port Michael
3774.06,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Torresborough,Isaiahfurt
2928.46,C-PVC (chlorinated PVC),Plumbing Product,North Melissaport,East Sean
8921.9,C-PVC (chlorinated PVC),Plumbing Product,Johnfort,Jasmintown
7194.5,PVC-U (unplasticised PVC),Industrial Product,Port Matthew,Michaelton
2294.31,Modified PVC,Cleaning Product,Stephensborough,Sheilaland
4551.18,PVC-U (unplasticised PVC),SANITARY PRODUCT,Alyssaville,Clarkshire
4548.2,C-PVC (chlorinated PVC),Industrial Product,South Michelletown,Port Brittanyport
5412.95,Modified PVC,Industrial Product,Rasmussenfort,Susanmouth
8611.23,Modified PVC,Agricultural Product,North Jamesshire,Jessicafurt
7124.95,C-PVC (chlorinated PVC),Plumbing Product,North Danafurt,North Kylie
4301.25,C-PVC (chlorinated PVC),Industrial Product,North Deniseshire,Port Jessica
2862.73,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Mendozastad,New Vincent
8879.51,C-PVC (chlorinated PVC),Plumbing Product,West Erin,Christopherland
7389.24,PVC-O (molecular oriented PVC),Industrial Product,North Patricia,Hammondchester
1133.71,PVC-O (molecular oriented PVC),Plumbing Product,Leonardton,North Joseshire
6084.89,Modified PVC,Agricultural Product,South Catherine,West Ashleyburgh
9923.62,PVC-U (unplasticised PVC),Water Tanks,Hallburgh,Evansborough
9665.0,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Lake Grace,East Louis
3802.16,PVC-U (unplasticised PVC),Industrial Product,New Mary,Smithside
8667.26,C-PVC (chlorinated PVC),Plumbing Product,North Carolyn,Carterberg
1760.02,PVC-U (unplasticised PVC),Plumbing Product,East Emilyburgh,Brendashire
8588.33,PVC-O (molecular oriented PVC),Plumbing Product,North Deborah,North Kaitlynview
1208.25,Modified PVC,Plumbing Product,Loribury,Smallburgh
1604.89,PVC-O (molecular oriented PVC),Plumbing Product,Port Jeremystad,Port Kevinburgh
8066.98,PVC-O (molecular oriented PVC),Plumbing Product,Smithbury,Jonesview
7542.2,Modified PVC,Water Tanks,Prattton,Guerraborough
5370.66,PVC-O (molecular oriented PVC),Agricultural Product,Sanchezfort,Lake Joshua
6314.97,Modified PVC,SANITARY PRODUCT,Amyland,South Angel
8354.12,Modified PVC,Cleaning Product,Holtburgh,Fitzgeraldmouth
7003.22,PVC-U (unplasticised PVC),Agricultural Product,Andrealand,Williamchester
6839.64,Modified PVC,Water Tanks,Romerofurt,South Kim
1565.0,Modified PVC,Industrial Product,West Petermouth,Port Jonathan
8779.65,C-PVC (chlorinated PVC),SANITARY PRODUCT,West Stephanie,Hannahshire
3004.13,C-PVC (chlorinated PVC),Agricultural Product,Port Michaelmouth,Scottburgh
2785.56,Modified PVC,Industrial Product,West Linda,Christopherton
6522.9,C-PVC (chlorinated PVC),Cleaning Product,Marioside,North Natalie
9394.9,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Lake Mary,Amandaberg
1437.07,C-PVC (chlorinated PVC),Industrial Product,Joshuamouth,Port Williammouth
1609.02,C-PVC (chlorinated PVC),SANITARY PRODUCT,Port Christopher,Christophershire
4811.06,C-PVC (chlorinated PVC),SANITARY PRODUCT,Elizabethborough,East Thomaschester
2801.46,PVC-U (unplasticised PVC),Water Tanks,North Katherine,Jenniferport
9849.63,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Samuelmouth,Johnsonport
8487.9,C-PVC (chlorinated PVC),Cleaning Product,Matthewton,Nicoleburgh
1160.05,PVC-U (unplasticised PVC),Agricultural Product,West Tonyfurt,Denisehaven
2509.89,PVC-O (molecular oriented PVC),Agricultural Product,West Chadbury,South Bridget
4668.4,PVC-O (molecular oriented PVC),Cleaning Product,Kaylafort,North Grace
7273.93,C-PVC (chlorinated PVC),Industrial Product,New Jessica,North Josephbury
3990.18,PVC-O (molecular oriented PVC),Plumbing Product,Ariasfort,Keithborough
8158.29,PVC-U (unplasticised PVC),SANITARY PRODUCT,Port Kimberly,Jonberg
7569.24,C-PVC (chlorinated PVC),Water Tanks,Thomasborough,New Michael
4784.81,PVC-O (molecular oriented PVC),Cleaning Product,Hernandezfurt,New Michelle
8521.88,C-PVC (chlorinated PVC),Agricultural Product,North Trevor,West Jefferyview
2203.66,Modified PVC,SANITARY PRODUCT,Mannmouth,Port Christina
1844.39,C-PVC (chlorinated PVC),Plumbing Product,North Michellemouth,Tannerberg
1631.98,C-PVC (chlorinated PVC),Water Tanks,South Williamhaven,West Abigailhaven
8283.83,PVC-U (unplasticised PVC),Plumbing Product,South Kristina,Jessicaland
6031.59,Modified PVC,Water Tanks,North Isaac,Markshire
3299.06,PVC-O (molecular oriented PVC),Water Tanks,Allisonberg,Davidsonhaven
7721.79,Modified PVC,Cleaning Product,Edwardburgh,Port Lorifurt
9848.95,PVC-O (molecular oriented PVC),Cleaning Product,Davidhaven,Port Arthurmouth
5200.17,PVC-U (unplasticised PVC),Industrial Product,Sosaside,East Sarah
9002.41,C-PVC (chlorinated PVC),SANITARY PRODUCT,North Tinafurt,Rodriguezville
5205.87,Modified PVC,Plumbing Product,South Ambershire,East Edwin
4259.81,Modified PVC,Water Tanks,Larrymouth,West Jeanshire
2572.82,PVC-U (unplasticised PVC),Industrial Product,South Markborough,West Scott
1893.14,C-PVC (chlorinated PVC),SANITARY PRODUCT,Sotoberg,New Brandyside
4191.6,C-PVC (chlorinated PVC),SANITARY PRODUCT,Port Stevenfurt,Dylanburgh
5273.32,PVC-U (unplasticised PVC),SANITARY PRODUCT,Stephenmouth,Dillonmouth
5799.52,C-PVC (chlorinated PVC),Cleaning Product,Lake John,Robertshaven
1329.75,PVC-O (molecular oriented PVC),Agricultural Product,Davisshire,Matthewhaven
9745.41,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Port Scottmouth,Lake Douglasfurt
5414.98,PVC-O (molecular oriented PVC),Water Tanks,Sanchezfurt,Lake Stephanieberg
4219.95,PVC-U (unplasticised PVC),Water Tanks,East Nataliefurt,Adamchester
6299.34,PVC-U (unplasticised PVC),Water Tanks,North Jessefurt,Sandrafort
9188.09,PVC-O (molecular oriented PVC),Agricultural Product,South Dean,Newmanfort
8357.98,PVC-O (molecular oriented PVC),Cleaning Product,Callahanfort,South Cherylmouth
2715.9,Modified PVC,Water Tanks,West Brittany,Wardtown
3388.66,PVC-U (unplasticised PVC),SANITARY PRODUCT,Barnesview,Port Alexander
2743.53,Modified PVC,Plumbing Product,East Jeremy,Peterberg
9630.73,Modified PVC,Cleaning Product,Christopherview,Barnesstad
2100.1,C-PVC (chlorinated PVC),SANITARY PRODUCT,Nicholeview,Chrishaven
3120.53,PVC-O (molecular oriented PVC),SANITARY PRODUCT,New Tinaborough,New Stephanieburgh
9247.2,Modified PVC,Cleaning Product,South Ashley,North Emilyland
7093.16,PVC-O (molecular oriented PVC),Agricultural Product,Jasmineport,Kennedystad
6135.11,Modified PVC,Cleaning Product,Fletcherberg,Larsonmouth
5762.71,PVC-O (molecular oriented PVC),Industrial Product,Kristenmouth,Stephenstown
4545.83,PVC-O (molecular oriented PVC),Plumbing Product,Gentryhaven,Owensfurt
5932.07,PVC-U (unplasticised PVC),Agricultural Product,Lake Caleb,Lindaburgh
8153.45,PVC-O (molecular oriented PVC),Agricultural Product,New Dakotashire,South Markberg
2546.78,PVC-U (unplasticised PVC),Cleaning Product,Garciatown,South Nicole
1113.22,PVC-U (unplasticised PVC),Industrial Product,West Tammytown,West Markville
4778.83,C-PVC (chlorinated PVC),Agricultural Product,West Amy,Lake Grantstad
5813.07,Modified PVC,Water Tanks,Stevenfort,Elizabethfurt
5712.8,PVC-O (molecular oriented PVC),Cleaning Product,Shellyside,Port Tyler
5048.88,Modified PVC,Agricultural Product,Lindahaven,Stephensonfort
8210.52,Modified PVC,Industrial Product,Robertfort,Watsonton
9778.66,PVC-U (unplasticised PVC),Industrial Product,South Samuelside,Port Alexandra
3190.26,Modified PVC,Plumbing Product,Briannatown,East Nicholasfort
8365.64,Modified PVC,Industrial Product,Susanchester,North David
1051.34,C-PVC (chlorinated PVC),Agricultural Product,North Jamieland,Annastad
3717.67,PVC-U (unplasticised PVC),Plumbing Product,Sarahbury,Lake Markmouth
4563.56,PVC-U (unplasticised PVC),Agricultural Product,South Beth,Ericaside
8618.91,PVC-U (unplasticised PVC),Water Tanks,Garciaberg,Smithchester
5970.85,C-PVC (chlorinated PVC),Industrial Product,East Michael,Jacobbury
9288.0,C-PVC (chlorinated PVC),Industrial Product,Joelville,North Kevin
2712.9,Modified PVC,Industrial Product,Brianfort,Clarkshire
7218.61,C-PVC (chlorinated PVC),Cleaning Product,Bushmouth,South Jasonmouth
5506.28,Modified PVC,Industrial Product,Jamesborough,North Madisonport
2495.06,Modified PVC,Industrial Product,North Charlesfurt,Port John
7973.46,PVC-O (molecular oriented PVC),Agricultural Product,West Robintown,Stephenfort
8095.68,PVC-O (molecular oriented PVC),Plumbing Product,Lake Mark,Hannamouth
7424.78,C-PVC (chlorinated PVC),Plumbing Product,New Donald,Lake Deannaville
6273.54,PVC-O (molecular oriented PVC),Agricultural Product,Olsenbury,Lake Angelica
6058.42,Modified PVC,Plumbing Product,North Joshuafurt,Dominguezfurt
5521.26,C-PVC (chlorinated PVC),Cleaning Product,Fullerchester,North Gavin
8799.95,PVC-O (molecular oriented PVC),Agricultural Product,New Robertside,Melissaberg
2525.28,C-PVC (chlorinated PVC),SANITARY PRODUCT,East Donnahaven,Port Morganborough
6023.35,Modified PVC,Plumbing Product,East Dustin,Mooreside
2241.12,Modified PVC,Cleaning Product,West Patricia,Erinborough
9370.85,C-PVC (chlorinated PVC),Plumbing Product,South Meganton,Andrewtown
4685.8,PVC-U (unplasticised PVC),Plumbing Product,Josephstad,New Matthewberg
8402.03,C-PVC (chlorinated PVC),Industrial Product,Smithhaven,West Jasonshire
9936.44,Modified PVC,Agricultural Product,North Christopher,North Kimberlyhaven
4193.25,C-PVC (chlorinated PVC),Industrial Product,New Renee,Porterborough
5514.4,PVC-O (molecular oriented PVC),Cleaning Product,Estradahaven,North Emily
8277.36,C-PVC (chlorinated PVC),Cleaning Product,Douglasmouth,Brandyport
2148.2,PVC-U (unplasticised PVC),Water Tanks,Port Joseph,Davisfurt
5608.26,PVC-U (unplasticised PVC),Agricultural Product,Harperbury,North Brett
2945.65,C-PVC (chlorinated PVC),SANITARY PRODUCT,South Glenmouth,West Stefanie
5732.92,Modified PVC,Plumbing Product,West Bryan,East Daniel
7996.37,PVC-U (unplasticised PVC),Industrial Product,West Zachary,South Amber
7154.44,C-PVC (chlorinated PVC),Agricultural Product,Masonfort,Port Paigeland
9293.58,PVC-O (molecular oriented PVC),Water Tanks,South Maureen,Blairton
5350.34,PVC-U (unplasticised PVC),Industrial Product,Rebeccaton,Patrickchester
4072.49,Modified PVC,SANITARY PRODUCT,North Annburgh,New Catherineberg
3335.51,PVC-O (molecular oriented PVC),Plumbing Product,Destinymouth,West Karla
3859.86,C-PVC (chlorinated PVC),SANITARY PRODUCT,Simpsontown,New Michaelland
6286.73,PVC-U (unplasticised PVC),Water Tanks,Wardberg,South Gregory
1682.71,C-PVC (chlorinated PVC),SANITARY PRODUCT,Roymouth,Thompsonton
2859.15,PVC-O (molecular oriented PVC),Agricultural Product,New Angel,North Robert
9459.65,PVC-U (unplasticised PVC),Plumbing Product,Brittanyshire,South Duane
4424.0,Modified PVC,Plumbing Product,Kevinton,Carriechester
3218.95,Modified PVC,Cleaning Product,South Katrinafort,East Sara
4773.26,Modified PVC,Cleaning Product,Christopherborough,Cunninghamfort
1458.68,C-PVC (chlorinated PVC),Agricultural Product,New Jamesbury,Lake Karenstad
1398.85,Modified PVC,SANITARY PRODUCT,North Lindaberg,Christopherville
8257.43,PVC-U (unplasticised PVC),Industrial Product,Johnmouth,Hancockbury
6865.33,C-PVC (chlorinated PVC),SANITARY PRODUCT,Wolfburgh,East Sheila
5101.89,Modified PVC,SANITARY PRODUCT,Brianside,South Nicholas
1132.33,PVC-U (unplasticised PVC),Water Tanks,Jasonmouth,East Johnbury
2494.46,C-PVC (chlorinated PVC),Water Tanks,Greenside,South Emily
9842.29,C-PVC (chlorinated PVC),Cleaning Product,Lisastad,Lake Eric
2556.72,PVC-O (molecular oriented PVC),Plumbing Product,New David,Saraport
8122.19,PVC-O (molecular oriented PVC),Cleaning Product,Joneschester,Port Nicole
7281.22,PVC-O (molecular oriented PVC),Agricultural Product,Port David,New Jose
5035.17,PVC-U (unplasticised PVC),Agricultural Product,Lake Kristopherville,Meganside
8835.94,PVC-U (unplasticised PVC),Industrial Product,South Catherinefort,Branchmouth
3509.4,PVC-U (unplasticised PVC),Agricultural Product,South Michaelfurt,Wilsonchester
4755.17,Modified PVC,SANITARY PRODUCT,Lisaport,North Nicole
8659.39,Modified PVC,Water Tanks,Mannmouth,Martinezport
8715.46,PVC-U (unplasticised PVC),Agricultural Product,Antonioview,Riggschester
3926.04,PVC-O (molecular oriented PVC),Plumbing Product,Gordonmouth,Port Lorishire
3886.04,C-PVC (chlorinated PVC),Plumbing Product,Diazhaven,Carriefurt
6000.35,C-PVC (chlorinated PVC),Water Tanks,Juliamouth,East Amy
3885.77,PVC-O (molecular oriented PVC),SANITARY PRODUCT,Kristinaville,West Jennifer
8142.1,Modified PVC,SANITARY PRODUCT,North Kristinastad,Jonestown
4513.46,PVC-O (molecular oriented PVC),Plumbing Product,South Bobby,East Matthewhaven
8170.15,C-PVC (chlorinated PVC),Plumbing Product,Longland,South Austin
9534.57,PVC-O (molecular oriented PVC),SANITARY PRODUCT,New Angela,Stephaniemouth
8726.96,PVC-U (unplasticised PVC),Water Tanks,North Garrett,Michaelhaven
